№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3277,Спортивный зал,Курортный,"г. Сестрорецк, ул. Мосина, дом 63, лит. А",ГБОУ СОШ № 434,162
3278,Спортивно-концертный зал,Курортный,"г. Сестрорецк, ул. Токарева, дом 5, лит. А",ГБОУ СОШ № 435,216
3279,Спортивно-концертный зал,Курортный,"пос. Песочный, Ленинградская ул., дом 53, лит. А",ГБОУ начальная школа-детский сад № 437,162
3280,Спортивный зал,Курортный,"пос. Репино, Луговая ул., дом 4, лит. А",ГБОУ СОШ № 442,162
3281,Спортивный зал,Курортный,"г. Зеленогорск, ул. Ленина, 2",ГОУ школа №445,288
3282,Спортивно-концертный зал,Курортный,"пос. Молодежное, ул. Правды, дом 6а, лит. А",ГБОУ СОШ № 447,164
3283,Спортивный зал,Курортный,"г. Зеленогорск, Красноармейская ул., дом 11, лит. Б",ГБОУ СОШ № 450,162
3284,Спортивно-концертный зал,Курортный,"пос. Песочный, Речная ул., дом 24, лит. А",ГБОУ СОШ № 466,162
3285,Спортивный зал,Курортный,"г. Сестрорецк, ул. Володарского, дом 12, лит. А",ГБОУ СОШ № 541,162
3286,Спортивно-концертный зал,Курортный," г. Сестрорецк, Ново-Гагаринская ул., дом 39, корп. 2, лит. А",ГБОУ СОШ № 545  ,357
3287,Спортивно-концертный зал,Курортный," г. Сестрорецк, Ново-Гагаринская ул., дом 39, корп. 2, лит. А",ГБОУ СОШ № 545  ,144
3288,Спортивно-концертный зал,Курортный,"г. Сестрорецк, ул. Токарева, дом 20, лит. А",ГБОУ СОШ № 556,288
3289,Спортивный зал,Курортный,"г. Сестрорецк, ул. Токарева, дом 20, лит. А",ГБОУ СОШ № 556,162
3290,Спортивно-концертный зал,Курортный,"г. Зеленогорск, ул. Исполкомская, д. 5",ГБУ ПМЦ Курортного района «Снайпер»,170
3291,Спортивный зал,Курортный,"г. Сестрорецк, Приморское шоссе, дом 280, лит. А","ГБУ ДО Центр психолого-педагогической, медицинской и социальной помощи Курортного района СПб",288
