№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
1961,Спортивная площадка,Приморский,"Богатырский пр.,д.61,корп.2",ГБОУ лицей №64,480
1962,Пришкольный стадион,Приморский,"ул.Аэродромная, д.11, к.2 Литер. А",ГБОУ гимназия № 66 ,2925
1963,Пришкольный стадион,Приморский,ул.Сердобольская 50/52-а,ГБОУ СОШ № 106,1400
1964,Пришкольный стадион,Приморский,"Омская, д.16, лит А",ГБОУ СОШ № 109,1944
1965,Хоккейная площадка,Приморский,"Омская, д.16, лит А",ГБОУ СОШ № 109,1152
1966,Пришкольный стадион,Приморский,"Торжковская ул., д.10,корп.2, лит.А",ГБОУ СОШ № 113,2102.89
1967,Пришкольный стадион,Приморский,"Новосибирская д.16, к.2",ГБОУ гимназия № 116,1727.1
1968,Спортивная площадка,Приморский,Нижне-Каменская ул. д.2,ГБОУ СОШ № 246,2952
1969,Спортивная площадка,Приморский,"Планереная ул., д.69,к.2",ГБОУ СОШ № 246,937.5
1970,Спортивная площадка,Приморский,"Новоколомяжский пр., д 4, к.4, лит. А",ГБОУ СОШ № 253,2398.6
1971,Пришкольный стадион,Приморский,"Оптиков ул., д.47, к.5, литер.А",ГБОУ СОШ № 320,416
1972,Спортивная площадка,Приморский,"Новоцентральная ул., д.21, к.7",ГБОУ СОШ №438,498
1973,Хоккейная площадка,Приморский,"Новоцентральная ул., д.21, к.7",ГБОУ СОШ №438,1161
1974,Пришкольный стадион,Приморский,"п.Ольгино, ул. Хвойная, д.35, лит.А",ГБОУ СОШ № 440,2738
1975,Хоккейная площадка,Приморский,"п.Ольгино, ул. Хвойная, д.35, лит.А",ГБОУ СОШ № 440,660
1976,Спортивная площадка,Приморский,"ул. Оптиков, д.46, к.3, литер.А",ГБОУ гимназия № 540,789.6
1977,Спортивная площадка,Приморский,"ул. Оптиков, д.46, к.3, литер.А",ГБОУ гимназия № 540,1035
1978,Спортивная площадка,Приморский,"ул. Оптиков, д.46, к.3, литер.А",ГБОУ гимназия № 540,363.6
1979,Пришкольный стадион,Приморский,"Комендантский пр. д.21, корп.3, лит. А",ГБОУ лицей № 554,2332.4
1980,Пришкольный стадион,Приморский,"Комендантский пр. д.17, корп.3","ГБОУ СОШ № 555 ""Белогорье""",2302.85
